% format humidity_percentage_at(location, humidity_percentage, yyyy, mm, dd, h).

humidity_percentage_at_750m(sappada_forni_villa, 60, 2019,11,1,1).
humidity_percentage_at_750m(pontebba_tarvisio, 20, 2019,11,1,1).
humidity_percentage_at_750m(lignano_grado, 100, 2019,11,1,1).
humidity_percentage_at_750m(barcis, 60, 2019,11,1,1).
humidity_percentage_at_750m(udine_palamnova, 0, 2019,11,1,1).
humidity_percentage_at_750m(gorizia, 0, 2019,11,1,1).
humidity_percentage_at_750m(trieste, 0, 2019,11,1,1).
humidity_percentage_at_750m(gemona_stolvizza, 100, 2019,11,1,1).
humidity_percentage_at_750m(pordenone, 100, 2019,11,1,1).
humidity_percentage_at_750m(sappada_forni_villa, 60, 2019,11,1,2).
humidity_percentage_at_750m(pontebba_tarvisio, 20, 2019,11,1,2).
humidity_percentage_at_750m(lignano_grado, 0, 2019,11,1,2).
humidity_percentage_at_750m(barcis, 60, 2019,11,1,2).
humidity_percentage_at_750m(udine_palamnova, 0, 2019,11,1,2).
humidity_percentage_at_750m(gorizia, 0, 2019,11,1,2).
humidity_percentage_at_750m(trieste, 0, 2019,11,1,2).
humidity_percentage_at_750m(gemona_stolvizza, 100, 2019,11,1,2).
humidity_percentage_at_750m(pordenone, 100, 2019,11,1,2).
humidity_percentage_at_750m(sappada_forni_villa, 60, 2019,11,1,3).
humidity_percentage_at_750m(pontebba_tarvisio, 20, 2019,11,1,3).
humidity_percentage_at_750m(lignano_grado, 0, 2019,11,1,3).
humidity_percentage_at_750m(barcis, 60, 2019,11,1,3).
humidity_percentage_at_750m(udine_palamnova, 0, 2019,11,1,3).
humidity_percentage_at_750m(gorizia, 0, 2019,11,1,3).
humidity_percentage_at_750m(trieste, 0, 2019,11,1,3).
humidity_percentage_at_750m(gemona_stolvizza, 100, 2019,11,1,3).
humidity_percentage_at_750m(pordenone, 100, 2019,11,1,3).
humidity_percentage_at_750m(sappada_forni_villa, 60, 2019,11,1,4).
humidity_percentage_at_750m(pontebba_tarvisio, 20, 2019,11,1,4).
