% format temperature_at(location, temperature, yyyy, mm, dd, h).

temperature_at_at_100m(sappada_forni_villa, 285, 2019,4,1,1).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,1).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,1).
temperature_at_at_100m(barcis, 281, 2019,4,1,1).
temperature_at_at_100m(udine_palmanova, 281, 2019,4,1,1).
temperature_at_at_100m(gorizia, 284, 2019,4,1,1).
temperature_at_at_100m(trieste, 286, 2019,4,1,1).
temperature_at_at_100m(gemona_stolvizza, 285, 2019,4,1,1).
temperature_at_at_100m(pordenone, 279, 2019,4,1,1).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,2).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,2).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,2).
temperature_at_at_100m(barcis, 279, 2019,4,1,2).
temperature_at_at_100m(udine_palmanova, 279, 2019,4,1,2).
temperature_at_at_100m(gorizia, 280, 2019,4,1,2).
temperature_at_at_100m(trieste, 284, 2019,4,1,2).
temperature_at_at_100m(gemona_stolvizza, 281, 2019,4,1,2).
temperature_at_at_100m(pordenone, 279, 2019,4,1,2).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,3).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,3).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,3).
temperature_at_at_100m(barcis, 279, 2019,4,1,3).
temperature_at_at_100m(udine_palmanova, 279, 2019,4,1,3).
temperature_at_at_100m(gorizia, 281, 2019,4,1,3).
temperature_at_at_100m(trieste, 282, 2019,4,1,3).
temperature_at_at_100m(gemona_stolvizza, 283, 2019,4,1,3).
temperature_at_at_100m(pordenone, 279, 2019,4,1,3).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,4).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,4).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,4).
temperature_at_at_100m(barcis, 281, 2019,4,1,4).
temperature_at_at_100m(udine_palmanova, 279, 2019,4,1,4).
temperature_at_at_100m(gorizia, 280, 2019,4,1,4).
temperature_at_at_100m(trieste, 282, 2019,4,1,4).
temperature_at_at_100m(gemona_stolvizza, 283, 2019,4,1,4).
temperature_at_at_100m(pordenone, 279, 2019,4,1,4).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,5).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,5).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,5).
temperature_at_at_100m(barcis, 281, 2019,4,1,5).
temperature_at_at_100m(udine_palmanova, 279, 2019,4,1,5).
temperature_at_at_100m(gorizia, 280, 2019,4,1,5).
temperature_at_at_100m(trieste, 284, 2019,4,1,5).
temperature_at_at_100m(gemona_stolvizza, 285, 2019,4,1,5).
temperature_at_at_100m(pordenone, 279, 2019,4,1,5).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,6).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,6).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,6).
temperature_at_at_100m(barcis, 279, 2019,4,1,6).
temperature_at_at_100m(udine_palmanova, 279, 2019,4,1,6).
temperature_at_at_100m(gorizia, 281, 2019,4,1,6).
temperature_at_at_100m(trieste, 284, 2019,4,1,6).
temperature_at_at_100m(gemona_stolvizza, 283, 2019,4,1,6).
temperature_at_at_100m(pordenone, 279, 2019,4,1,6).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,7).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,7).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,7).
temperature_at_at_100m(barcis, 279, 2019,4,1,7).
temperature_at_at_100m(udine_palmanova, 279, 2019,4,1,7).
temperature_at_at_100m(gorizia, 281, 2019,4,1,7).
temperature_at_at_100m(trieste, 280, 2019,4,1,7).
temperature_at_at_100m(gemona_stolvizza, 281, 2019,4,1,7).
temperature_at_at_100m(pordenone, 279, 2019,4,1,7).
temperature_at_at_100m(sappada_forni_villa, 285, 2019,4,1,8).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,8).
temperature_at_at_100m(lignano_grado, 281, 2019,4,1,8).
temperature_at_at_100m(barcis, 283, 2019,4,1,8).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,8).
temperature_at_at_100m(gorizia, 281, 2019,4,1,8).
temperature_at_at_100m(trieste, 280, 2019,4,1,8).
temperature_at_at_100m(gemona_stolvizza, 283, 2019,4,1,8).
temperature_at_at_100m(pordenone, 278, 2019,4,1,8).
temperature_at_at_100m(sappada_forni_villa, 285, 2019,4,1,9).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,9).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,9).
temperature_at_at_100m(barcis, 283, 2019,4,1,9).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,9).
temperature_at_at_100m(gorizia, 281, 2019,4,1,9).
temperature_at_at_100m(trieste, 280, 2019,4,1,9).
temperature_at_at_100m(gemona_stolvizza, 282, 2019,4,1,9).
temperature_at_at_100m(pordenone, 278, 2019,4,1,9).
temperature_at_at_100m(sappada_forni_villa, 285, 2019,4,1,10).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,10).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,10).
temperature_at_at_100m(barcis, 283, 2019,4,1,10).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,10).
temperature_at_at_100m(gorizia, 281, 2019,4,1,10).
temperature_at_at_100m(trieste, 280, 2019,4,1,10).
temperature_at_at_100m(gemona_stolvizza, 282, 2019,4,1,10).
temperature_at_at_100m(pordenone, 278, 2019,4,1,10).
temperature_at_at_100m(sappada_forni_villa, 289, 2019,4,1,11).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,11).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,11).
temperature_at_at_100m(barcis, 286, 2019,4,1,11).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,11).
temperature_at_at_100m(gorizia, 281, 2019,4,1,11).
temperature_at_at_100m(trieste, 280, 2019,4,1,11).
temperature_at_at_100m(gemona_stolvizza, 285, 2019,4,1,11).
temperature_at_at_100m(pordenone, 278, 2019,4,1,11).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,12).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,12).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,12).
temperature_at_at_100m(barcis, 285, 2019,4,1,12).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,12).
temperature_at_at_100m(gorizia, 279, 2019,4,1,12).
temperature_at_at_100m(trieste, 280, 2019,4,1,12).
temperature_at_at_100m(gemona_stolvizza, 285, 2019,4,1,12).
temperature_at_at_100m(pordenone, 278, 2019,4,1,12).
temperature_at_at_100m(sappada_forni_villa, 290, 2019,4,1,13).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,13).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,13).
temperature_at_at_100m(barcis, 286, 2019,4,1,13).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,13).
temperature_at_at_100m(gorizia, 281, 2019,4,1,13).
temperature_at_at_100m(trieste, 280, 2019,4,1,13).
temperature_at_at_100m(gemona_stolvizza, 286, 2019,4,1,13).
temperature_at_at_100m(pordenone, 278, 2019,4,1,13).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,1,14).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,14).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,14).
temperature_at_at_100m(barcis, 287, 2019,4,1,14).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,14).
temperature_at_at_100m(gorizia, 281, 2019,4,1,14).
temperature_at_at_100m(trieste, 280, 2019,4,1,14).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,1,14).
temperature_at_at_100m(pordenone, 278, 2019,4,1,14).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,1,15).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,15).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,15).
temperature_at_at_100m(barcis, 287, 2019,4,1,15).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,15).
temperature_at_at_100m(gorizia, 282, 2019,4,1,15).
temperature_at_at_100m(trieste, 280, 2019,4,1,15).
temperature_at_at_100m(gemona_stolvizza, 293, 2019,4,1,15).
temperature_at_at_100m(pordenone, 278, 2019,4,1,15).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,1,16).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,1,16).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,16).
temperature_at_at_100m(barcis, 286, 2019,4,1,16).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,16).
temperature_at_at_100m(gorizia, 281, 2019,4,1,16).
temperature_at_at_100m(trieste, 280, 2019,4,1,16).
temperature_at_at_100m(gemona_stolvizza, 287, 2019,4,1,16).
temperature_at_at_100m(pordenone, 278, 2019,4,1,16).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,17).
temperature_at_at_100m(pontebba_tarvisio, 291, 2019,4,1,17).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,17).
temperature_at_at_100m(barcis, 283, 2019,4,1,17).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,17).
temperature_at_at_100m(gorizia, 281, 2019,4,1,17).
temperature_at_at_100m(trieste, 280, 2019,4,1,17).
temperature_at_at_100m(gemona_stolvizza, 286, 2019,4,1,17).
temperature_at_at_100m(pordenone, 278, 2019,4,1,17).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,18).
temperature_at_at_100m(pontebba_tarvisio, 292, 2019,4,1,18).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,18).
temperature_at_at_100m(barcis, 285, 2019,4,1,18).
temperature_at_at_100m(udine_palmanova, 278, 2019,4,1,18).
temperature_at_at_100m(gorizia, 283, 2019,4,1,18).
temperature_at_at_100m(trieste, 282, 2019,4,1,18).
temperature_at_at_100m(gemona_stolvizza, 286, 2019,4,1,18).
temperature_at_at_100m(pordenone, 278, 2019,4,1,18).
temperature_at_at_100m(sappada_forni_villa, 286, 2019,4,1,19).
temperature_at_at_100m(pontebba_tarvisio, 291, 2019,4,1,19).
temperature_at_at_100m(lignano_grado, 278, 2019,4,1,19).
temperature_at_at_100m(barcis, 286, 2019,4,1,19).
temperature_at_at_100m(udine_palmanova, 281, 2019,4,1,19).
temperature_at_at_100m(gorizia, 284, 2019,4,1,19).
temperature_at_at_100m(trieste, 284, 2019,4,1,19).
temperature_at_at_100m(gemona_stolvizza, 286, 2019,4,1,19).
temperature_at_at_100m(pordenone, 278, 2019,4,1,19).
temperature_at_at_100m(sappada_forni_villa, 287, 2019,4,1,20).
temperature_at_at_100m(pontebba_tarvisio, 291, 2019,4,1,20).
temperature_at_at_100m(lignano_grado, 279, 2019,4,1,20).
temperature_at_at_100m(barcis, 286, 2019,4,1,20).
temperature_at_at_100m(udine_palmanova, 283, 2019,4,1,20).
temperature_at_at_100m(gorizia, 284, 2019,4,1,20).
temperature_at_at_100m(trieste, 284, 2019,4,1,20).
temperature_at_at_100m(gemona_stolvizza, 287, 2019,4,1,20).
temperature_at_at_100m(pordenone, 278, 2019,4,1,20).
temperature_at_at_100m(sappada_forni_villa, 289, 2019,4,1,21).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,21).
temperature_at_at_100m(lignano_grado, 281, 2019,4,1,21).
temperature_at_at_100m(barcis, 287, 2019,4,1,21).
temperature_at_at_100m(udine_palmanova, 285, 2019,4,1,21).
temperature_at_at_100m(gorizia, 284, 2019,4,1,21).
temperature_at_at_100m(trieste, 284, 2019,4,1,21).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,1,21).
temperature_at_at_100m(pordenone, 278, 2019,4,1,21).
temperature_at_at_100m(sappada_forni_villa, 289, 2019,4,1,22).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,22).
temperature_at_at_100m(lignano_grado, 285, 2019,4,1,22).
temperature_at_at_100m(barcis, 289, 2019,4,1,22).
temperature_at_at_100m(udine_palmanova, 285, 2019,4,1,22).
temperature_at_at_100m(gorizia, 285, 2019,4,1,22).
temperature_at_at_100m(trieste, 286, 2019,4,1,22).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,1,22).
temperature_at_at_100m(pordenone, 281, 2019,4,1,22).
temperature_at_at_100m(sappada_forni_villa, 289, 2019,4,1,23).
temperature_at_at_100m(pontebba_tarvisio, 293, 2019,4,1,23).
temperature_at_at_100m(lignano_grado, 285, 2019,4,1,23).
temperature_at_at_100m(barcis, 289, 2019,4,1,23).
temperature_at_at_100m(udine_palmanova, 285, 2019,4,1,23).
temperature_at_at_100m(gorizia, 286, 2019,4,1,23).
temperature_at_at_100m(trieste, 286, 2019,4,1,23).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,1,23).
temperature_at_at_100m(pordenone, 285, 2019,4,1,23).
temperature_at_at_100m(sappada_forni_villa, 289, 2019,4,2,0).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,0).
temperature_at_at_100m(lignano_grado, 285, 2019,4,2,0).
temperature_at_at_100m(barcis, 289, 2019,4,2,0).
temperature_at_at_100m(udine_palmanova, 286, 2019,4,2,0).
temperature_at_at_100m(gorizia, 287, 2019,4,2,0).
temperature_at_at_100m(trieste, 288, 2019,4,2,0).
temperature_at_at_100m(gemona_stolvizza, 287, 2019,4,2,0).
temperature_at_at_100m(pordenone, 285, 2019,4,2,0).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,2,1).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,1).
temperature_at_at_100m(lignano_grado, 285, 2019,4,2,1).
temperature_at_at_100m(barcis, 289, 2019,4,2,1).
temperature_at_at_100m(udine_palmanova, 289, 2019,4,2,1).
temperature_at_at_100m(gorizia, 290, 2019,4,2,1).
temperature_at_at_100m(trieste, 290, 2019,4,2,1).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,2,1).
temperature_at_at_100m(pordenone, 285, 2019,4,2,1).
temperature_at_at_100m(sappada_forni_villa, 294, 2019,4,2,2).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,2).
temperature_at_at_100m(lignano_grado, 289, 2019,4,2,2).
temperature_at_at_100m(barcis, 289, 2019,4,2,2).
temperature_at_at_100m(udine_palmanova, 289, 2019,4,2,2).
temperature_at_at_100m(gorizia, 293, 2019,4,2,2).
temperature_at_at_100m(trieste, 294, 2019,4,2,2).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,2,2).
temperature_at_at_100m(pordenone, 285, 2019,4,2,2).
temperature_at_at_100m(sappada_forni_villa, 294, 2019,4,2,3).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,3).
temperature_at_at_100m(lignano_grado, 289, 2019,4,2,3).
temperature_at_at_100m(barcis, 289, 2019,4,2,3).
temperature_at_at_100m(udine_palmanova, 289, 2019,4,2,3).
temperature_at_at_100m(gorizia, 293, 2019,4,2,3).
temperature_at_at_100m(trieste, 293, 2019,4,2,3).
temperature_at_at_100m(gemona_stolvizza, 290, 2019,4,2,3).
temperature_at_at_100m(pordenone, 285, 2019,4,2,3).
temperature_at_at_100m(sappada_forni_villa, 294, 2019,4,2,4).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,4).
temperature_at_at_100m(lignano_grado, 289, 2019,4,2,4).
temperature_at_at_100m(barcis, 287, 2019,4,2,4).
temperature_at_at_100m(udine_palmanova, 286, 2019,4,2,4).
temperature_at_at_100m(gorizia, 292, 2019,4,2,4).
temperature_at_at_100m(trieste, 294, 2019,4,2,4).
temperature_at_at_100m(gemona_stolvizza, 289, 2019,4,2,4).
temperature_at_at_100m(pordenone, 285, 2019,4,2,4).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,2,5).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,5).
temperature_at_at_100m(lignano_grado, 289, 2019,4,2,5).
temperature_at_at_100m(barcis, 286, 2019,4,2,5).
temperature_at_at_100m(udine_palmanova, 286, 2019,4,2,5).
temperature_at_at_100m(gorizia, 293, 2019,4,2,5).
temperature_at_at_100m(trieste, 294, 2019,4,2,5).
temperature_at_at_100m(gemona_stolvizza, 286, 2019,4,2,5).
temperature_at_at_100m(pordenone, 285, 2019,4,2,5).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,2,6).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,6).
temperature_at_at_100m(lignano_grado, 286, 2019,4,2,6).
temperature_at_at_100m(barcis, 285, 2019,4,2,6).
temperature_at_at_100m(udine_palmanova, 285, 2019,4,2,6).
temperature_at_at_100m(gorizia, 290, 2019,4,2,6).
temperature_at_at_100m(trieste, 294, 2019,4,2,6).
temperature_at_at_100m(gemona_stolvizza, 285, 2019,4,2,6).
temperature_at_at_100m(pordenone, 279, 2019,4,2,6).
temperature_at_at_100m(sappada_forni_villa, 294, 2019,4,2,7).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,7).
temperature_at_at_100m(lignano_grado, 289, 2019,4,2,7).
temperature_at_at_100m(barcis, 287, 2019,4,2,7).
temperature_at_at_100m(udine_palmanova, 285, 2019,4,2,7).
temperature_at_at_100m(gorizia, 286, 2019,4,2,7).
temperature_at_at_100m(trieste, 294, 2019,4,2,7).
temperature_at_at_100m(gemona_stolvizza, 286, 2019,4,2,7).
temperature_at_at_100m(pordenone, 285, 2019,4,2,7).
temperature_at_at_100m(sappada_forni_villa, 293, 2019,4,2,8).
temperature_at_at_100m(pontebba_tarvisio, 294, 2019,4,2,8).
temperature_at_at_100m(lignano_grado, 289, 2019,4,2,8).
temperature_at_at_100m(barcis, 287, 2019,4,2,8).
temperature_at_at_100m(udine_palmanova, 285, 2019,4,2,8).
